medal_type,medal_code,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Gold Medal,1,UENO Y,UENO Yukiko,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,GOTO M,GOTO Miu,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,FUJITA Y,FUJITA Yamato,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,AGATSUMA H,AGATSUMA Haruka,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,KIYOHARA N,KIYOHARA Nayu,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,ATSUMI M,ATSUMI Mana,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,ICHIGUCHI Y,ICHIGUCHI Yuka,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,KAWABATA H,KAWABATA Hitomi,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,NAITO M,NAITO Minori,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,YAMAMOTO Y,YAMAMOTO Yu,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,HARADA N,HARADA Nodoka,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,MORI S,MORI Sayaka,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,YAMAZAKI S,YAMAZAKI Saki,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,YAMADA E,YAMADA Eri,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,MINE Y,MINE Yukiyo,W,JPN,BSB,Softball,Japan,Baseball/Softball
Silver Medal,2,AGUILAR A,AGUILAR Ali,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,CARDA A,CARDA Ally,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,CHIDESTER A,CHIDESTER Amanda,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,MUNRO A,MUNRO Aubree,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,MULIPOLA D,MULIPOLA Dejah,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,SPAULDING D,SPAULDING Delaney,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,Mc CLENEY H,Mc CLENEY Haylie,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,REED J,REED Janie,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,MOULTRIE M,MOULTRIE Michelle,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,NICKLES B,NICKLES Bubba,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,GARCIA R,GARCIA Rachel,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,ARIOTO V,ARIOTO Valerie,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,OSTERMAN C,OSTERMAN Cat,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,STEWART K,STEWART Kelsey,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,ABBOTT M,ABBOTT Monica,W,USA,BSB,Softball,United States of America,Baseball/Softball
Bronze Medal,3,CAIRA J,CAIRA Jenna,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,ENTZMINGER E,ENTZMINGER Emma,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,FRANKLIN L,FRANKLIN Larissa,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,GILBERT J,GILBERT Jen,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,GROENEWEGEN S,GROENEWEGEN Sara,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,HAYWARD V,HAYWARD Victoria,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,HARSHMAN K,HARSHMAN Kelsey,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,LAWRIE D,LAWRIE Danielle,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,LEUNG J,LEUNG Janet,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,LYE J,LYE Joey,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,POLIDORI E,POLIDORI Erika,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,RAFTER K,RAFTER Kaleigh,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,REGULA L,REGULA Lauren,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,SALLING J,SALLING Jenn,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,WIDEMAN N,WIDEMAN Natalie,W,CAN,BSB,Softball,Canada,Baseball/Softball
Gold Medal,1,FUNK R,FUNK Ricarda,W,GER,CSL,Women's Kayak,Germany,Canoe Slalom
Silver Medal,2,CHOURRAUT M,CHOURRAUT Maialen,W,ESP,CSL,Women's Kayak,Spain,Canoe Slalom
Bronze Medal,3,FOX J,FOX Jessica,W,AUS,CSL,Women's Kayak,Australia,Canoe Slalom
Gold Medal,1,NEFF J,NEFF Jolanda,W,SUI,MTB,Women's Cross-country,Switzerland,Cycling Mountain Bike
Silver Medal,2,FREI S,FREI Sina,W,SUI,MTB,Women's Cross-country,Switzerland,Cycling Mountain Bike
Bronze Medal,3,INDERGAND L,INDERGAND Linda,W,SUI,MTB,Women's Cross-country,Switzerland,Cycling Mountain Bike
Gold Medal,1,CHEN Y,CHEN Yuxi,W,CHN,DIV,Women's Synchronised 10m Platform,People's Republic of China,Diving
Gold Medal,1,ZHANG J,ZHANG Jiaqi,W,CHN,DIV,Women's Synchronised 10m Platform,People's Republic of China,Diving
Silver Medal,2,SCHNELL D,SCHNELL Delaney,W,USA,DIV,Women's Synchronised 10m Platform,United States of America,Diving
Silver Medal,2,PARRATTO J,PARRATTO Jessica,W,USA,DIV,Women's Synchronised 10m Platform,United States of America,Diving
Bronze Medal,3,AGUNDEZ GARCIA G,AGUNDEZ GARCIA Gabriela,W,MEX,DIV,Women's Synchronised 10m Platform,Mexico,Diving
Bronze Medal,3,OROZCO LOZA A,OROZCO LOZA Alejandra,W,MEX,DIV,Women's Synchronised 10m Platform,Mexico,Diving
Gold Medal,1,WERTH I,WERTH Isabell,O,GER,EQU,Dressage Team,Germany,Equestrian
Gold Medal,1,von BREDOW-WERNDL Jessica,von BREDOW-WERNDL Jessica,O,GER,EQU,Dressage Team,Germany,Equestrian
Gold Medal,1,SCHNEIDER D,SCHNEIDER Dorothee,O,GER,EQU,Dressage Team,Germany,Equestrian
Silver Medal,2,LYLE A,LYLE Adrienne,O,USA,EQU,Dressage Team,United States of America,Equestrian
Silver Medal,2,SCHUT-KERY S,SCHUT-KERY Sabine,O,USA,EQU,Dressage Team,United States of America,Equestrian
Silver Medal,2,PETERS S,PETERS Steffen,O,USA,EQU,Dressage Team,United States of America,Equestrian
Bronze Medal,3,DUJARDIN C,DUJARDIN Charlotte,O,GBR,EQU,Dressage Team,Great Britain,Equestrian
Bronze Medal,3,FRY C,FRY Charlotte,O,GBR,EQU,Dressage Team,Great Britain,Equestrian
Bronze Medal,3,HESTER C,HESTER Carl,O,GBR,EQU,Dressage Team,Great Britain,Equestrian
Gold Medal,1,BELJAJEVA J,BELJAJEVA Julia,W,EST,FEN,Women's &Eacute;p&eacute;e Team,Estonia,Fencing
Gold Medal,1,LEHIS K,LEHIS Katrina,W,EST,FEN,Women's &Eacute;p&eacute;e Team,Estonia,Fencing
Gold Medal,1,KIRPU E,KIRPU Erika,W,EST,FEN,Women's &Eacute;p&eacute;e Team,Estonia,Fencing
Gold Medal,1,EMBRICH I,EMBRICH Irina,W,EST,FEN,Women's &Eacute;p&eacute;e Team,Estonia,Fencing
Silver Medal,2,CHOI I,CHOI Injeong,W,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Silver Medal,2,LEE H,LEE Hyein,W,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Silver Medal,2,KANG YM,KANG Young Mi,W,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Silver Medal,2,SONG S,SONG Sera,W,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze Medal,3,SANTUCCIO A,SANTUCCIO Alberta,W,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Bronze Medal,3,ISOLA F,ISOLA Federica,W,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Bronze Medal,3,FIAMINGO R,FIAMINGO Rossella,W,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Bronze Medal,3,NAVARRIA M,NAVARRIA Mara,W,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Gold Medal,1,NAGASE T,NAGASE Takanori,M,JPN,JUD,Men -81 kg,Japan,Judo
Silver Medal,2,MOLLAEI S,MOLLAEI Saeid,M,MGL,JUD,Men -81 kg,Mongolia,Judo
Bronze Medal,3,BORCHASHVILI S,BORCHASHVILI Shamil,M,AUT,JUD,Men -81 kg,Austria,Judo
Bronze Medal,3,CASSE M,CASSE Matthias,M,BEL,JUD,Men -81 kg,Belgium,Judo
Gold Medal,1,AGBEGNENOU C,AGBEGNENOU Clarisse,W,FRA,JUD,Women -63 kg,France,Judo
Silver Medal,2,TRSTENJAK T,TRSTENJAK Tina,W,SLO,JUD,Women -63 kg,Slovenia,Judo
Bronze Medal,3,BEAUCHEMIN-PINARD,BEAUCHEMIN-PINARD Catherine,W,CAN,JUD,Women -63 kg,Canada,Judo
Bronze Medal,3,CENTRACCHIO M,CENTRACCHIO Maria,W,ITA,JUD,Women -63 kg,Italy,Judo
Gold Medal,1,JIANG R,JIANG Ranxin,X,CHN,SHO,10m Air Pistol Mixed Team,People's Republic of China,Shooting
Gold Medal,1,PANG W,PANG Wei,X,CHN,SHO,10m Air Pistol Mixed Team,People's Republic of China,Shooting
Silver Medal,2,BATSARASHKINA V,BATSARASHKINA Vitalina,X,ROC,SHO,10m Air Pistol Mixed Team,ROC,Shooting
Silver Medal,2,CHERNOUSOV A,CHERNOUSOV Artem,X,ROC,SHO,10m Air Pistol Mixed Team,ROC,Shooting
Bronze Medal,3,KOSTEVYCH O,KOSTEVYCH Olena,X,UKR,SHO,10m Air Pistol Mixed Team,Ukraine,Shooting
Bronze Medal,3,OMELCHUK O,OMELCHUK Oleh,X,UKR,SHO,10m Air Pistol Mixed Team,Ukraine,Shooting
Gold Medal,1,YANG Q,YANG Qian,X,CHN,SHO,10m Air Rifle Mixed Team,People's Republic of China,Shooting
Gold Medal,1,YANG H,YANG Haoran,X,CHN,SHO,10m Air Rifle Mixed Team,People's Republic of China,Shooting
Silver Medal,2,KOZENIESKY L,KOZENIESKY Lucas,X,USA,SHO,10m Air Rifle Mixed Team,United States of America,Shooting
Silver Medal,2,TUCKER MC,TUCKER Mary Carolynn,X,USA,SHO,10m Air Rifle Mixed Team,United States of America,Shooting
Bronze Medal,3,KARIMOVA Y,KARIMOVA Yulia,X,ROC,SHO,10m Air Rifle Mixed Team,ROC,Shooting
Bronze Medal,3,KAMENSKIY S,KAMENSKIY Sergey,X,ROC,SHO,10m Air Rifle Mixed Team,ROC,Shooting
Gold Medal,1,FERREIRA I,FERREIRA Italo,M,BRA,SRF,Men,Brazil,Surfing
Silver Medal,2,IGARASHI K,IGARASHI Kanoa,M,JPN,SRF,Men,Japan,Surfing
Bronze Medal,3,WRIGHT O,WRIGHT Owen,M,AUS,SRF,Men,Australia,Surfing
Gold Medal,1,MOORE C,MOORE Carissa,W,USA,SRF,Women,United States of America,Surfing
Silver Medal,2,BUITENDAG B,BUITENDAG Bianca,W,RSA,SRF,Women,South Africa,Surfing
Bronze Medal,3,TSUZUKI A,TSUZUKI Amuro,W,JPN,SRF,Women,Japan,Surfing
Gold Medal,1,RYLOV E,RYLOV Evgeny,M,ROC,SWM,Men's 100m Backstroke,ROC,Swimming
Silver Medal,2,KOLESNIKOV K,KOLESNIKOV Kliment,M,ROC,SWM,Men's 100m Backstroke,ROC,Swimming
Bronze Medal,3,MURPHY R,MURPHY Ryan,M,USA,SWM,Men's 100m Backstroke,United States of America,Swimming
Gold Medal,1,DEAN T,DEAN Tom,M,GBR,SWM,Men's 200m Freestyle,Great Britain,Swimming
Silver Medal,2,SCOTT D,SCOTT Duncan,M,GBR,SWM,Men's 200m Freestyle,Great Britain,Swimming
Bronze Medal,3,SCHEFFER F,SCHEFFER Fernando,M,BRA,SWM,Men's 200m Freestyle,Brazil,Swimming
Gold Medal,1,McKEOWN K,McKEOWN Kaylee,W,AUS,SWM,Women's 100m Backstroke,Australia,Swimming
Silver Medal,2,MASSE K,MASSE Kylie,W,CAN,SWM,Women's 100m Backstroke,Canada,Swimming
Bronze Medal,3,SMITH R,SMITH Regan,W,USA,SWM,Women's 100m Backstroke,United States of America,Swimming
Gold Medal,1,JACOBY L,JACOBY Lydia,W,USA,SWM,Women's 100m Breaststroke,United States of America,Swimming
Silver Medal,2,SCHOENMAKER T,SCHOENMAKER Tatjana,W,RSA,SWM,Women's 100m Breaststroke,South Africa,Swimming
Bronze Medal,3,KING L,KING Lilly,W,USA,SWM,Women's 100m Breaststroke,United States of America,Swimming
Gold Medal,1,LARIN V,LARIN Vladislav,M,ROC,TKW,Men +80kg,ROC,Taekwondo
Silver Medal,2,GEORGIEVSKI D,GEORGIEVSKI Dejan,M,MKD,TKW,Men +80kg,North Macedonia,Taekwondo
Bronze Medal,3,IN KD,IN Kyo Don,M,KOR,TKW,Men +80kg,Republic of Korea,Taekwondo
Bronze Medal,3,ALBA CASTILLO RY,ALBA CASTILLO Rafael Yunier,M,CUB,TKW,Men +80kg,Cuba,Taekwondo
Gold Medal,1,MANDIC M,MANDIC Milica,W,SRB,TKW,Women +67kg,Serbia,Taekwondo
Silver Medal,2,LEE D,LEE Dabin,W,KOR,TKW,Women +67kg,Republic of Korea,Taekwondo
Bronze Medal,3,LAURIN A,LAURIN Althea,W,FRA,TKW,Women +67kg,France,Taekwondo
Bronze Medal,3,WALKDEN B,WALKDEN Bianca,W,GBR,TKW,Women +67kg,Great Britain,Taekwondo
Gold Medal,1,DUFFY F,DUFFY Flora,W,BER,TRI,Women's Individual,Bermuda,Triathlon
Silver Medal,2,TAYLOR-BROWN G,TAYLOR-BROWN Georgia,W,GBR,TRI,Women's Individual,Great Britain,Triathlon
Bronze Medal,3,ZAFERES K,ZAFERES Katie,W,USA,TRI,Women's Individual,United States of America,Triathlon
Gold Medal,1,KUO HC,KUO Hsing-Chun,W,TPE,WLF,Women's 59kg,Chinese Taipei,Weightlifting
Silver Medal,2,GURYEVA P,GURYEVA Polina,W,TKM,WLF,Women's 59kg,Turkmenistan,Weightlifting
Bronze Medal,3,ANDOH M,ANDOH Mikiko,W,JPN,WLF,Women's 59kg,Japan,Weightlifting
Gold Medal,1,CHARRON MG,CHARRON Maude G,W,CAN,WLF,Women's 64kg,Canada,Weightlifting
Silver Medal,2,BORDIGNON G,BORDIGNON Giorgia,W,ITA,WLF,Women's 64kg,Italy,Weightlifting
Bronze Medal,3,CHEN WH,CHEN Wen-Huei,W,TPE,WLF,Women's 64kg,Chinese Taipei,Weightlifting
Gold Medal,1,MIEZIS N,MIEZIS Nauris,M,LAT,BK3,Men,Latvia,3x3 Basketball
Gold Medal,1,LASMANIS K,LASMANIS Karlis,M,LAT,BK3,Men,Latvia,3x3 Basketball
Gold Medal,1,CAVARS A,CAVARS Agnis,M,LAT,BK3,Men,Latvia,3x3 Basketball
Gold Medal,1,KRUMINS E,KRUMINS Edgars,M,LAT,BK3,Men,Latvia,3x3 Basketball
Silver Medal,2,ZUEV A,ZUEV Alexander,M,ROC,BK3,Men,ROC,3x3 Basketball
Silver Medal,2,KARPENKOV I,KARPENKOV Ilia,M,ROC,BK3,Men,ROC,3x3 Basketball
Silver Medal,2,PISKLOV K,PISKLOV Kirill,M,ROC,BK3,Men,ROC,3x3 Basketball
Silver Medal,2,SHAROV S,SHAROV Stanislav,M,ROC,BK3,Men,ROC,3x3 Basketball
Bronze Medal,3,DOMOVIC BULUT D,DOMOVIC BULUT Dusan,M,SRB,BK3,Men,Serbia,3x3 Basketball
Bronze Medal,3,MAJSTOROVIC D,MAJSTOROVIC Dejan,M,SRB,BK3,Men,Serbia,3x3 Basketball
Bronze Medal,3,RATKOV A,RATKOV Aleksandar,M,SRB,BK3,Men,Serbia,3x3 Basketball
Bronze Medal,3,VASIC M,VASIC Mihailo,M,SRB,BK3,Men,Serbia,3x3 Basketball
Gold Medal,1,YOUNG J,YOUNG Jacquelyn,W,USA,BK3,Women,United States of America,3x3 Basketball
Gold Medal,1,GRAY A,GRAY Allisha,W,USA,BK3,Women,United States of America,3x3 Basketball
Gold Medal,1,PLUM K,PLUM Kelsey,W,USA,BK3,Women,United States of America,3x3 Basketball
Gold Medal,1,DOLSON S,DOLSON Stefanie,W,USA,BK3,Women,United States of America,3x3 Basketball
Silver Medal,2,KOZIK Y,KOZIK Yulia,W,ROC,BK3,Women,ROC,3x3 Basketball
Silver Medal,2,LOGUNOVA A,LOGUNOVA Anastasiia,W,ROC,BK3,Women,ROC,3x3 Basketball
Silver Medal,2,FROLKINA E,FROLKINA Evgeniia,W,ROC,BK3,Women,ROC,3x3 Basketball
Silver Medal,2,FROLKINA O,FROLKINA Olga,W,ROC,BK3,Women,ROC,3x3 Basketball
Bronze Medal,3,ZHANG Z,ZHANG Zhiting,W,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Bronze Medal,3,WAN J,WAN Jiyuan,W,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Bronze Medal,3,YANG S,YANG Shuyu,W,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Bronze Medal,3,WANG L,WANG Lili,W,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Gold Medal,1,HASHIMOTO D,HASHIMOTO Daiki,M,JPN,GAR,Men's All-Around,Japan,Artistic Gymnastics
Silver Medal,2,XIAO R,XIAO Ruoteng,M,CHN,GAR,Men's All-Around,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,NAGORNYY N,NAGORNYY Nikita,M,ROC,GAR,Men's All-Around,ROC,Artistic Gymnastics
Gold Medal,1,ROGLIC P,ROGLIC Primoz,M,SLO,CRD,Men's Individual Time Trial,Slovenia,Cycling Road
Silver Medal,2,DUMOULIN T,DUMOULIN Tom,M,NED,CRD,Men's Individual Time Trial,Netherlands,Cycling Road
Bronze Medal,3,DENNIS R,DENNIS Rohan,M,AUS,CRD,Men's Individual Time Trial,Australia,Cycling Road
Gold Medal,1,van VLEUTEN A,van VLEUTEN Annemiek,W,NED,CRD,Women's Individual Time Trial,Netherlands,Cycling Road
Silver Medal,2,REUSSER M,REUSSER Marlen,W,SUI,CRD,Women's Individual Time Trial,Switzerland,Cycling Road
Bronze Medal,3,van der BREGGEN A,van der BREGGEN Anna,W,NED,CRD,Women's Individual Time Trial,Netherlands,Cycling Road
Gold Medal,1,WANG Z,WANG Zongyuan,M,CHN,DIV,Men's Synchronised 3m Springboard,People's Republic of China,Diving
Gold Medal,1,XIE S,XIE Siyi,M,CHN,DIV,Men's Synchronised 3m Springboard,People's Republic of China,Diving
Silver Medal,2,CAPOBIANCO A,CAPOBIANCO Andrew,M,USA,DIV,Men's Synchronised 3m Springboard,United States of America,Diving
Silver Medal,2,HIXON M,HIXON Michael,M,USA,DIV,Men's Synchronised 3m Springboard,United States of America,Diving
Bronze Medal,3,HAUSDING P,HAUSDING Patrick,M,GER,DIV,Men's Synchronised 3m Springboard,Germany,Diving
Bronze Medal,3,RUDIGER L,RUDIGER Lars,M,GER,DIV,Men's Synchronised 3m Springboard,Germany,Diving
Gold Medal,1,von BREDOW-WERNDL Jessica,von BREDOW-WERNDL Jessica,O,GER,EQU,Dressage Individual,Germany,Equestrian
Silver Medal,2,WERTH I,WERTH Isabell,O,GER,EQU,Dressage Individual,Germany,Equestrian
Bronze Medal,3,DUJARDIN C,DUJARDIN Charlotte,O,GBR,EQU,Dressage Individual,Great Britain,Equestrian
Gold Medal,1,OH S,OH Sanguk,M,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,KIM J,KIM Junho,M,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,KIM J,KIM Junghwan,M,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,GU B,GU Bongil,M,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Silver Medal,2,MONTANO A,MONTANO Aldo,M,ITA,FEN,Men's Sabre Team,Italy,Fencing
Silver Medal,2,SAMELE L,SAMELE Luigi,M,ITA,FEN,Men's Sabre Team,Italy,Fencing
Silver Medal,2,BERRE' E,BERRE' Enrico,M,ITA,FEN,Men's Sabre Team,Italy,Fencing
Silver Medal,2,CURATOLI L,CURATOLI Luca,M,ITA,FEN,Men's Sabre Team,Italy,Fencing
Bronze Medal,3,SZILAGYI A,SZILAGYI Aron,M,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Bronze Medal,3,SZATMARI A,SZATMARI Andras,M,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Bronze Medal,3,DECSI T,DECSI Tamas,M,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Bronze Medal,3,GEMESI C,GEMESI Csanad,M,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Gold Medal,1,BEKAURI L,BEKAURI Lasha,M,GEO,JUD,Men -90 kg,Georgia,Judo
Silver Medal,2,TRIPPEL E,TRIPPEL Eduard,M,GER,JUD,Men -90 kg,Germany,Judo
Bronze Medal,3,BOBONOV D,BOBONOV Davlat,M,UZB,JUD,Men -90 kg,Uzbekistan,Judo
Bronze Medal,3,TOTH K,TOTH Krisztian,M,HUN,JUD,Men -90 kg,Hungary,Judo
Gold Medal,1,ARAI C,ARAI Chizuru,W,JPN,JUD,Women -70 kg,Japan,Judo
Silver Medal,2,POLLERES M,POLLERES Michaela,W,AUT,JUD,Women -70 kg,Austria,Judo
Bronze Medal,3,van DIJKE S,van DIJKE Sanne,W,NED,JUD,Women -70 kg,Netherlands,Judo
Bronze Medal,3,TAIMAZOVA M,TAIMAZOVA Madina,W,ROC,JUD,Women -70 kg,ROC,Judo
Gold Medal,1,BOUCHERON H,BOUCHERON Hugo,M,FRA,ROW,Men's Double Sculls,France,Rowing
Gold Medal,1,ANDRODIAS M,ANDRODIAS Matthieu,M,FRA,ROW,Men's Double Sculls,France,Rowing
Silver Medal,2,BROENINK S,BROENINK Stef,M,NED,ROW,Men's Double Sculls,Netherlands,Rowing
Silver Medal,2,TWELLAAR M,TWELLAAR Melvin,M,NED,ROW,Men's Double Sculls,Netherlands,Rowing
Bronze Medal,3,LIU Z,LIU Zhiyu,M,CHN,ROW,Men's Double Sculls,People's Republic of China,Rowing
Bronze Medal,3,ZHANG L,ZHANG Liang,M,CHN,ROW,Men's Double Sculls,People's Republic of China,Rowing
Gold Medal,1,TURRIN S,TURRIN Spencer,M,AUS,ROW,Men's Four,Australia,Rowing
Gold Medal,1,HARGREAVES J,HARGREAVES Jack,M,AUS,ROW,Men's Four,Australia,Rowing
Gold Medal,1,HILL A,HILL Alexander,M,AUS,ROW,Men's Four,Australia,Rowing
Gold Medal,1,PURNELL A,PURNELL Alexander,M,AUS,ROW,Men's Four,Australia,Rowing
Silver Medal,2,PASCARI C,PASCARI Cosmin,M,ROU,ROW,Men's Four,Romania,Rowing
Silver Medal,2,SEMCIUC MV,SEMCIUC Mugurel Vasile,M,ROU,ROW,Men's Four,Romania,Rowing
Silver Medal,2,TIGANESCU M,TIGANESCU Mihaita,M,ROU,ROW,Men's Four,Romania,Rowing
Silver Medal,2,BERARIU S,BERARIU Stefan,M,ROU,ROW,Men's Four,Romania,Rowing
Bronze Medal,3,CASTALDO M,CASTALDO Matteo,M,ITA,ROW,Men's Four,Italy,Rowing
Bronze Medal,3,VICINO G,VICINO Giuseppe,M,ITA,ROW,Men's Four,Italy,Rowing
Bronze Medal,3,LODO M,LODO Matteo,M,ITA,ROW,Men's Four,Italy,Rowing
Bronze Medal,3,di COSTANZO M,di COSTANZO Marco,M,ITA,ROW,Men's Four,Italy,Rowing
Gold Medal,1,WIERSMA A,WIERSMA Abe,M,NED,ROW,Men's Quadruple Sculls,Netherlands,Rowing
Gold Medal,1,WIETEN T,WIETEN Tone,M,NED,ROW,Men's Quadruple Sculls,Netherlands,Rowing
Gold Medal,1,METSEMAKERS K,METSEMAKERS Koen,M,NED,ROW,Men's Quadruple Sculls,Netherlands,Rowing
Gold Medal,1,UITTENBOGAARD D,UITTENBOGAARD Lucas Theodoor Dirk,M,NED,ROW,Men's Quadruple Sculls,Netherlands,Rowing
Silver Medal,2,GROOM A,GROOM Angus,M,GBR,ROW,Men's Quadruple Sculls,Great Britain,Rowing
Silver Medal,2,LEASK H,LEASK Harry,M,GBR,ROW,Men's Quadruple Sculls,Great Britain,Rowing
Silver Medal,2,BARRAS T,BARRAS Tom,M,GBR,ROW,Men's Quadruple Sculls,Great Britain,Rowing
Silver Medal,2,BEAUMONT J,BEAUMONT Jack,M,GBR,ROW,Men's Quadruple Sculls,Great Britain,Rowing
Bronze Medal,3,GIRDLESTONE C,GIRDLESTONE Cameron,M,AUS,ROW,Men's Quadruple Sculls,Australia,Rowing
Bronze Medal,3,ANTILL C,ANTILL Caleb,M,AUS,ROW,Men's Quadruple Sculls,Australia,Rowing
Bronze Medal,3,CLEARY J,CLEARY Jack,M,AUS,ROW,Men's Quadruple Sculls,Australia,Rowing
Bronze Medal,3,LETCHER L,LETCHER Luke,M,AUS,ROW,Men's Quadruple Sculls,Australia,Rowing
Gold Medal,1,BODNAR A,BODNAR Ancuta,W,ROU,ROW,Women's Double Sculls,Romania,Rowing
Gold Medal,1,RADIS S,RADIS Simona,W,ROU,ROW,Women's Double Sculls,Romania,Rowing
Silver Medal,2,OSBORNE H,OSBORNE Hannah,W,NZL,ROW,Women's Double Sculls,New Zealand,Rowing
Silver Medal,2,DONOGHUE B,DONOGHUE Brooke,W,NZL,ROW,Women's Double Sculls,New Zealand,Rowing
Bronze Medal,3,de JONG R,de JONG Roos,W,NED,ROW,Women's Double Sculls,Netherlands,Rowing
Bronze Medal,3,SCHEENAARD L,SCHEENAARD Lisa,W,NED,ROW,Women's Double Sculls,Netherlands,Rowing
Gold Medal,1,STEPHAN L,STEPHAN Lucy,W,AUS,ROW,Women's Four,Australia,Rowing
Gold Medal,1,MORRISON J,MORRISON Jessica,W,AUS,ROW,Women's Four,Australia,Rowing
Gold Medal,1,POPA R,POPA Rosemary,W,AUS,ROW,Women's Four,Australia,Rowing
Gold Medal,1,McINTYRE A,McINTYRE Annabelle,W,AUS,ROW,Women's Four,Australia,Rowing
Silver Medal,2,HOGERWERF E,HOGERWERF Ellen,W,NED,ROW,Women's Four,Netherlands,Rowing
Silver Medal,2,CLEVERING Y,CLEVERING Ymkje,W,NED,ROW,Women's Four,Netherlands,Rowing
Silver Medal,2,FLORIJN K,FLORIJN Karolien,W,NED,ROW,Women's Four,Netherlands,Rowing
Silver Medal,2,MEESTER V,MEESTER Veronique,W,NED,ROW,Women's Four,Netherlands,Rowing
Bronze Medal,3,HEGARTY E,HEGARTY Emily,W,IRL,ROW,Women's Four,Ireland,Rowing
Bronze Medal,3,LAMBE E,LAMBE Eimear,W,IRL,ROW,Women's Four,Ireland,Rowing
